"title";"id";"year"
"UCODE_2005 and six other computer codes for universal sensitivity analysis, calibration, and uncertainty evaluation constructed using the JUPITER API";"5104096930366264018";"2006"
"Model calibration as a testing strategy for system dynamics models";"10780405803903527972";"2003"
"Selecting parameters to optimize in model calibration by inverse analysis";"138179876185868995";"2004"
" Methods and techniques for rigorous calibration of a cellular automaton model of urban growth";"13363820832359667441";"1996"
"Sensitivity analysis in model calibration: GSA-GLUE approach";"64940322505933475";"2001"
" How effective and efficient are multiobjective evolutionary algorithms at hydrologic model calibration?";"17871040056619493565";"2005"
"Model calibration and uncertainty estimation";"12269227762396681513";"2005"
" Computer systems performance evaluation";"15651730396212346827";"1978"
" Multiobjective calibration with Pareto preference ordering: An application to rainfall‐runoff model calibration";"17389997150398067028";"2005"
"Sampling design methods for water distribution model calibration";"7866989084846552775";"1998"
"Estimation of Markov chain transition probabilities and rates from fully and partially observed data: uncertainty propagation, evidence synthesis, and model calibration";"11746447090691558351";"2005"
"Coevolving predator and prey robots: Do “arms races” arise in artificial evolution?";"1321777106389311401";"1998"
"Explorations in design space: Unconventional electronics design through artificial evolution";"12256054224996743497";"1999"
" The art of artificial evolution: A handbook on evolutionary art and music";"16560836320831105229";"2008"
" Spatially structured evolutionary algorithms: artificial evolution in space and time";"8578937152569116021";"2006"
"Guidelines: From artificial evolution to computational evolution: a research agenda";"9689065770518005127";"2006"
"Artificial evolution of life history and behavior";"7041093935872868340";"2002"
"Artificial evolution: A new path for artificial intelligence?";"2073369031321299314";"1997"
"Open-ended artificial evolution";"14474615092249989965";"2003"
" The artificial evolution of adaptive behaviour";"7039079603119211278";"1995"
"Artificial evolution of neural networks and its application to feedback control";"3582061341903564341";"1996"
"How co-evolution can enhance the adaptive power of artificial evolution: Implications for evolutionary robotics";"8400418915521056137";"1998"
"From artificial evolution to artificial life";"1611722238724412438";"1999"
"An evolutionary architecture";"13206490715080923331";"1995"
" Artificial intelligence through simulated evolution";"2186096176839226500";"1966"
"Notes on design through artificial evolution: Opportunities and algorithms";"8423991683266123239";"2002"
" SPEA2: Improving the strength Pareto evolutionary algorithm";"4030732361144885810";"2001"
"MOEA/D: A multiobjective evolutionary algorithm based on decomposition";"7146326768797462468";"2007"
"Quantum-inspired evolutionary algorithm for a class of combinatorial optimization";"18077927523705755738";"2002"
"An evolutionary algorithm that constructs recurrent neural networks";"11779954044047463823";"1994"
" An evolutionary algorithm for multiobjective optimization: The strength pareto approach";"3317781397246971261";"1998"
"A multiobjective evolutionary algorithm for the sizing and siting of distributed generation";"15881838637557025756";"2005"
"On measuring multiobjective evolutionary algorithm performance";"6794987874876363618";"2000"
"On the analysis of the (1+ 1) evolutionary algorithm";"7472922186283507853";"2002"
"A computationally efficient evolutionary algorithm for real-parameter optimization";"13696258885997537502";"2002"
"Genocop III: A co-evolutionary algorithm for numerical optimization problems with nonlinear constraints";"14743056616464207752";"1995"
"Variable selection in QSAR studies. I. An evolutionary algorithm";"18243331614836876507";"1994"
"Evaluating the ε-domination based multi-objective evolutionary algorithm for a quick computation of Pareto-optimal solutions";"10031087337215432326";"2005"
"Prediction of MHC class II-binding peptides using an evolutionary algorithm and artificial neural network.";"18446731468660371865";"1998"
"DE/EDA: A new evolutionary algorithm for global optimization";"413508661017374655";"2005"
" Handbook of evolutionary computation";"14264335267739024498";"1997"
"Multiobjective evolutionary algorithm test suites";"17850012271649066684";"1999"
"A multiobjective optimization-based evolutionary algorithm for constrained optimization";"13063870386322884746";"2006"
" A fast multi-objective evolutionary algorithm for finding well-spread pareto-optimal solutions";"12398682249803045103";""
"An evolutionary algorithm with guided mutation for the maximum clique problem";"11149044408795042115";"2005"
" Multiobjective evolutionary algorithm research: A history and analysis";"10487301859933921186";"1998"
"Evolutionary algorithms for multiobjective optimization";"13541969223314691427";"2002"
"Performance evaluation of an advanced local search evolutionary algorithm";"10424015560194952350";"2005"
"Evolutionary algorithm solution to fuzzy problems: fuzzy linear programming";"7961382933365730944";"2000"
"On a multi-objective evolutionary algorithm and its convergence to the pareto set";"8096686811313295261";"1998"
"Evolutionary multiobjective optimization";"2652852582212624839";"2005"
"Fuzzy system parameters discovery by bacterial evolutionary algorithm";"4418278593396033106";"1999"
"Optimal VAR dispatch using a multiobjective evolutionary algorithm";"9180865812132997934";"2005"
"Dynamic multiobjective evolutionary algorithm: adaptive cell-based rank and density estimation";"2406489453272025033";"2003"
"An evolutionary algorithm for integer programming";"7550029575033292055";"1994"
"A hybrid multiobjective evolutionary algorithm for solving vehicle routing problem with time windows";"921488155158563064";"2006"
"Multiobjective optimization and hybrid evolutionary algorithm to solve constrained optimization problems";"10309239885293034661";"2007"
"A new evolutionary algorithm for solving many-objective optimization problems";"15655957666540482864";"2008"
"Reliability and costs optimization for distribution networks expansion using an evolutionary algorithm";"14825288839632598332";"2001"
" Monte Carlo strategies in scientific computing";"15723223843293506872";"2008"
"IPython: a system for interactive scientific computing";"9869903761521342638";"2007"
"Python for scientific computing";"9033267342875292363";"2007"
" Numerical recipes in Pascal: the art of scientific computing";"4862185389086026636";"1989"
" Numerical Recipes in C: The Art of Scientific Computing (  Cambridge";"2971482962940605847";"1992"
"Performance analysis of cloud computing services for many-tasks scientific computing";"1880096372427611035";"2011"
"A performance analysis of EC2 cloud computing services for scientific computing";"4338441922084701914";"2009"
"Toward a common component architecture for high-performance scientific computing";"13074918477395021089";"1999"
" Verification and validation in scientific computing";"14477505245915798440";"2010"
"Some scheduling techniques and an easily schedulable horizontal architecture for high performance scientific computing";"8185713064051074714";"1981"
"Investigating the limits of SOAP performance for scientific computing";"9755163033732773964";"2002"
"A generic grid interface for parallel and adaptive scientific computing. Part II: implementation and tests in DUNE";"8677596292445006023";"2008"
"Scientific computing on vector computers";"3817307391517407054";"1987"
" Visualization in scientific computing";"8686860776330027905";"1988"
"A component architecture for high-performance scientific computing";"264247676447888176";"2006"
"A comprehensive framework for verification, validation, and uncertainty quantification in scientific computing";"258172100913180257";"2011"
" Scientific computing: an introduction with parallel computing";"3731518132154042856";"2014"
"CUDA: Scalable parallel programming for high-performance scientific computing";"1425110402843259618";"2008"
"A generic grid interface for parallel and adaptive scientific computing. Part I: abstract framework";"7134805561791210482";"2008"
" Parallel scientific computing in C++ and MPI: a seamless approach to parallel algorithms and their implementation";"15844643371952022282";"2003"
"File system workload analysis for large scale scientific computing applications";"13592914484873421291";"2004"
" An introduction to Bayesian scientific computing: ten lectures on subjective computing";"3648870181924018779";"2007"
"Scientific computing in the cloud";"1632619957182571136";"2010"
" Parallel computing: theory and practice";"922163278678978176";"1994"
"Highly parallel computing";"5691513344697345916";"1988"
" Introduction to parallel computing: design and analysis of algorithms";"8472381968125954168";"1994"
" PVM: Parallel virtual machine: a users' guide and tutorial for networked parallel computing";"7325477516605945713";"1994"
"The PVM concurrent computing system: Evolution, experiences, and trends";"5793908232900482717";"1994"
"High performance computing using MPI and OpenMP on multi-core parallel systems";"9089857118549482842";"2011"
"The parallel genetic algorithm as function optimizer";"15965472294997762083";"1991"
" The landscape of parallel computing research: A view from berkeley";"15446826255925976162";"2006"
" Scalable parallel computing: technology, architecture, programming";"8075119307524142547";"1998"
" Introduction to parallel computing";"6234486233257882624";"2003"
"Massively parallel computing using commodity components";"1976363347256952537";"2000"
"Parallel recombinative simulated annealing: a genetic algorithm";"16679031156524858795";"1995"
"Data management and transfer in high-performance computational grid environments";"7946251587802956438";"2002"
"A high-performance, portable implementation of the MPI message passing interface standard";"12057140765855931724";"1996"
" DryadLINQ: A System for General-Purpose Distributed Data-Parallel Computing Using a High-Level Language.";"3662601067977846800";"2008"
"DAGuE: A generic distributed DAG engine for high performance computing";"12320224745413131987";"2012"
"A view of the parallel computing landscape";"11255509559611247245";"2009"
"ClustalW-MPI: ClustalW analysis using distributed and parallel computing";"7905361750931694825";"2003"
" IVY: A Shared Virtual Memory System for Parallel Computing.";"2299017183106408699";"1988"
"Parallel computing experiences with CUDA";"3087932887502093666";"2008"
"Achieving efficient cloud search services: multi-keyword ranked search over encrypted cloud data supporting parallel computing";"993890652702145325";"2015"
"Swift: A language for distributed parallel scripting";"13831634492694981131";"2011"
"Warp: an integrated solution of high-speed parallel computing";"17322680149032751941";"1988"
"GPUs and the future of parallel computing";"17946135235768020071";"2011"
"A bridging model for parallel computation";"1818527463204136022";"1990"
" Parallel computation: models and methods";"496778223723443724";"1997"
"A survey of parallel algorithms for shared-memory machines";"4991161932441960821";"1988"
" A general approach to mapping of parallel computation upon multiprocessor architectures";"1733915970881688449";""
" Algorithmic skeletons: structured management of parallel computation";"16481213176289859827";"1989"
"Applying parallel computation algorithms in the design of serial algorithms";"4614178868152302229";"1983"
"Models and languages for parallel computation";"10772800183222540220";"1998"
"Architecture-independent parallel computation";"13363916665623677517";"1990"
"Routing, merging and sorting on parallel models of computation";"5717338956790133267";"1982"
"The utility of exploiting idle workstations for parallel computation";"16630230786268926735";"1997"
" Hardware complexity and parallel computation";"1014311515858070822";"1980"
"Models of parallel computation: A survey and synthesis";"2770120782262668988";"1995"
" Reliable distributed computing with the Isis toolkit";"2493290193414728444";"1994"
"Distributed computing in practice: the Condor experience";"4398715046210677938";"2005"
"Distributed computing";"15530502666830130077";"2000"
"PVM: A framework for parallel distributed computing";"17012751749085551893";"1990"
"Matchmaking: Distributed resource management for high throughput computing";"9111807486171522034";"1998"
"A taxonomy and survey of grid resource management systems for distributed computing";"11870491332776542130";"2002"
"The process group approach to reliable distributed computing";"16995310501469550379";"1993"
" Distributed computing: fundamentals, simulations, and advanced topics";"16887412193443025531";"2004"
"U-Net: A user-level network interface for parallel and distributed computing";"11365769301695967128";"1995"
"SETI@ HOME—massively distributed computing for SETI";"13665805084498487824";"2001"
"A note on distributed computing";"11353807827406225954";"1996"
"Grapevine: An exercise in distributed computing";"3538700675537411813";"1982"
"A task allocation model for distributed computing systems";"8075785738843111791";"1982"
" The Grid 2: Blueprint for a new computing infrastructure";"13782588520514473021";"2003"
"Quincy: fair scheduling for distributed computing clusters";"2925779590981218808";"2009"
"Distributed computing services platform";"16173510210152292919";"2006"
"Programming languages for distributed computing systems";"5032555845230266705";"1989"
" Parallel and distributed computing handbook";"3054201826300902406";"1996"
"System for monitoring and managing computer resources and applications across a distributed computing environment using an intelligent autonomous agent …";"9299164518881813039";"1997"
"A grid-enabled MPI: Message passing in heterogeneous distributed computing systems";"2048424058125292695";"1998"
"Partitioning problems in parallel, pipeline, and distributed computing";"10033818771473797989";"1988"
"Distributed computing economics";"1745945856345094369";"2008"
"Optimal task assignment in heterogeneous distributed computing systems";"16247334673283094568";"1998"
"Folding@ Home and Genome@ Home: Using distributed computing to tackle previously intractable problems in computational biology";"4320260012045958866";"2009"
"Model evaluation guidelines for systematic quantification of accuracy in watershed simulations";"17837937534206707268";"2007"
"Some comments on the evaluation of model performance";"2044806008606764648";"1982"
"Transferability and model evaluation in ecological niche modeling: a comparison of GARP and Maxent";"7214817131572258876";"2007"
"A simulation study of the model evaluation criterion MMRE";"15209904946626812780";"2003"
"Reconciling theory with observations: elements of a diagnostic approach to model evaluation";"14769665777819904584";"2008"
"Model-Evaluation";"7503433030879582223";"1979"
"Model evaluation by comparison of model-based predictions and measured values";"7487955927957652385";"2003"
"Model evaluation and spatial interpolation by Bayesian combination of observations with outputs from numerical models";"5421824401837246725";"2005"
" Model evaluation";"14462291162561266477";"2001"
" A process‐based diagnostic approach to model evaluation: Application to the NWS distributed hydrologic model";"18349210916545917813";"2008"
" A survey of model evaluation approaches with a tutorial on hierarchical Bayesian methods";"3774631208667602503";"2008"
" Model evaluation by variable addition";"4703190437584195910";"1984"
"Constraints of artificial neural networks for rainfall-runoff modelling: trade-offs in hydrological state representation and model evaluation";"12932248277162761012";"2005"
" A limits of acceptability approach to model evaluation and uncertainty estimation in flood frequency estimation by continuous simulation: Skalka catchment …";"9872158114689345808";"2009"
"Practical Bayesian model evaluation using leave-one-out cross-validation and WAIC";"13592897121719449855";"2017"
"Model selection and validation for yield trials with interaction";"17924944545545098499";"1988"
"Land-cover change model validation by an ROC method for the Ipswich watershed, Massachusetts, USA";"7003745109627603810";"2001"
"Dynamic models and model validation for PEM fuel cells using electrical circuits";"6980822697790964349";"2005"
"A time-domain approach to model validation";"4825208934905893307";"1994"
"Model validation: A connection between robust control and identification";"10742093498307204747";"1992"
"Philosophical roots of model validation: two paradigms";"12753539324718444887";"1990"
"Model validation in operations research";"4458513399511577148";"1983"
"Simulation model verification and validation: increasing the users' confidence";"6762758812974302519";"1997"
"Principles of simulation model validation, verification, and testing";"11257369701924160389";"1994"
"Model validation by permutation tests: applications to variable selection";"16349058116317275861";"1996"
"Nonlinear model validation using correlation tests";"4373170441163641711";"1994"
" Climate modelling, climate prediction and model validation";"15116455120157174700";"1992"
"Computer model validation with functional output";"17351810279505046500";"2007"
" Model verification and validation";"2418760055160989630";"2005"
"Model validation using equivalence tests";"16870707013158697013";"2004"
"Time-varying system identification and model validation using wavelets";"16416960511541353573";"1993"
"Robust state estimation and model validation for discrete-time uncertain systems with a deterministic description of noise and uncertainty";"9363371395426212159";"1998"
"Reducing over-optimism in variable selection by cross-model validation";"12800639748149389769";"2006"
"Fuzzy model validation using the local statistical approach";"12991650092096299437";"2009"
"Model validation in soft systems practice";"5250962385285822721";"1995"
" Model validation and model error modeling";"8378368868785993961";"1999"
"The role of the postaudit in model validation";"14498900609867724317";"1992"
"Examining the challenges of scientific workflows";"11827413542471077356";"2007"
"Taverna: lessons in creating a workflow environment for the life sciences";"9329563759117495052";"2006"
"Uncertainty quantification in computational predictive models for fluid dynamics using a workflow management engine";"16287301690463382179";"2012"
" Madagascar: Open-source software project for multidimensional data analysis and reproducible computational experiments";"2822880591635036694";"2013"
" Reproducible computational biology experiments with SED-ML-the simulation experiment description markup language";"18097705036647023716";"2011"
"Preserving scientific processes from design to publications";"3760558622844989105";"2012"
" Grid computing: experiment management, tool integration, and scientific workflows";"8410616465018146683";"2007"
"Chiron: a parallel engine for algebraic scientific workflows";"14367105663095951270";"2013"
" Scientific workflow management system applied to uncertainty quantification in large eddy simulation";"239016243059706625";"2009"
"Nextflow enables reproducible computational workflows";"7491845746350232790";"2017"
"A hybrid intelligent method for performance modeling and prediction of workflow activities in grids";"4629960888799423271";"2009"
"Cost-efficient task scheduling for executing large programs in the cloud";"5446223302413309510";"2013"
"GPU-based parallel reservoir simulation for large-scale simulation problems";"16108260498356665578";"2012"
"Terascale direct numerical simulations of turbulent combustion using S3D";"10190873345802501893";"2009"
" The impact of workflow tools on data-centric research";"13427846374265199332";"2009"
"Supporting dynamic parameter sweep in adaptive and user-steered workflow";"5689187013913905822";"2011"
"Exposé: An ontology for data mining experiments";"5428248033861993580";"2010"
" iLAP: a workflow-driven software for experimental protocol development, data acquisition and analysis";"10952821308968480210";"2009"
"On scientific workflow scheduling in clouds under budget constraint";"3074952761917924131";"2013"
"OpenAlea: scientific workflows combining data analysis and simulation";"12403905290985936480";"2015"
"High performance computing";"3596855301464947356";"1998"
"A large-scale study of failures in high-performance computing systems";"3842206365961431573";"2010"
" High performance computing";"10773280870610152841";"1998"
"GPU cluster for high performance computing";"6535036744130835558";"2004"
"Performance analysis of high performance computing applications on the amazon web services cloud";"12139582102983489105";"2010"
" High performance compilers for parallel computing";"8476262622168177528";"1996"
"A case for high performance computing with virtual machines";"5727230737830851656";"2006"
"Performance evaluation of container-based virtualization for high performance computing environments";"10923333840681982605";"2013"
"Virtualization for high-performance computing";"1063796308362389142";"2006"
" High performance cluster computing";"17700231664354509199";"1999"
"GPU clusters for high-performance computing";"14004453548033815551";"2009"
"Analysis of virtualization technologies for high performance computing environments";"11445508777594100780";"2011"
" Introduction to high performance computing for scientists and engineers";"8429516660510754808";"2010"
"vCUDA: GPU-accelerated high-performance computing in virtual machines";"460899059798807434";"2012"
" High performance computing in remote sensing";"2117926452470549713";"2007"
"Disk system architectures for high performance computing";"4547202643286638838";"1989"
"A GPGPU transparent virtualization component for high performance computing clouds";"9217948106133094037";"2010"
"What's next in high-performance computing?";"11849678144466468601";"2002"
"Scalable I/O forwarding framework for high-performance computing systems";"12426038677248210015";"2009"
"Detection and correction of silent data corruption for large-scale high-performance computing";"10470939431511075192";"2012"
"Algorithm-based fault tolerance applied to high performance computing";"3405952251900699188";"2009"
" Toward a new metric for ranking high performance computing systems";"18374335496614572582";"2013"
"Reducing electricity cost through virtual machine placement in high performance computing clouds";"1161645947243764127";"2011"
" Open source high performance computing";"12446842799124228816";""
"Recent developments in high performance computing for remote sensing: A review";"6675839599784023576";"2011"
"Understanding the high-performance-computing community: A software engineer's perspective";"5573714039110996297";"2008"
"Recommendations for virtualization technologies in high performance computing";"11405844422794523384";"2010"
"A quantitative analysis of high performance computing with Amazon's EC2 infrastructure: The death of the local cluster?";"10024391500510912961";"2009"
" Design of experiments";"3579270290034115582";"2000"
" Design of experiments: a realistic approach";"6283980730365737484";"1974"
"Design of Experiments";"1255814268866883824";"2000"
" Design of experiments";"15813822057006644703";"2017"
"Design of experiments";"16305174422861267681";"2007"
"Design of experiments";"8509967537519111798";"1936"
"Design of experiments";"7919149952051057021";"1998"
" Design of experiments";"11729860717469276361";"1978"
"Design of experiments";"5087218156352040995";"1995"
" Response surface methodology: Process and product optimization using designed experiments: RH Myers and DC Montgomery,(Wiley, New York, 1995 …";"11641003624961586250";"1997"
" Statistical principles in experimental design";"9779396938407216626";"1991"
"Some aspects of the sequential design of experiments";"11788015013250456678";"1985"
" The design of experiments";"11288720614939752780";"1937"
"Design of experiments for engineers and scientists";"7171402177458764582";"2006"
"Computer aided design of experiments";"2139646663391649294";"1969"
"Design of experiments";"3119770479361524167";"2009"
" Optimal design of experiments";"4289170595920989803";"1993"
" Taguchi methods: design of experiments";"6491865674158138133";"1993"
"Design of experiments in non-linear situations";"18119133007963315944";"1959"
" Design of experiments using the Taguchi approach: 16 steps to product and process improvement";"14139909338244100395";"2001"
" Experimental design";"18023871483355497605";"1950"
" A dynamic allocation index for the sequential design of experiments";"15567947115321753988";"1974"
"The design of experiments";"1193583128727573022";"1949"
"Fundamental concepts in the design of experiments";"13176727414133471645";"1964"
"The simplex-centroid design for experiments with mixtures";"5290646135614346998";"1963"
"The design of experiments for discriminating between two rival models";"16921343656195493382";"1975"
" RSM simplified: optimizing processes using response surface methods for design of experiments";"9536491867003408864";"2016"
" Model-oriented design of experiments";"1893276635708719794";"2012"
"Model-based design of experiments for parameter precision: State of the art";"11234279659459643469";"2008"
"Sequential design of experiments";"7739604809705671621";"1959"
"A problem in the sequential design of experiments";"13775087269505005494";"1956"
" The theory of the design of experiments";"718414983691404822";"2000"
" Fundamental concepts in the design of experiments";"1791163743991888975";"1963"
"Overview of modern design of experiments methods for computational simulations";"16857586454587406868";"2003"
" The design of experiments to find optimal conditions: a programmed introduction to the design of experiments";"240539019229222025";"1975"
"Cloud computing and grid computing 360-degree compared";"11059172793408319527";"2008"
"Pegasus: Mapping scientific workflows onto the grid";"3916211765604196483";"2004"
" Grid computing: making the global infrastructure a reality";"7242699132984827694";"2003"
"Gridsim: A toolkit for the modeling and simulation of distributed resource management and scheduling for grid computing";"10141487525724023446";"2002"
"A taxonomy of workflow management systems for grid computing";"10536470094197216392";"2005"
"Economic models for resource management and scheduling in grid computing";"2170446225020809763";"2002"
"A taxonomy of scientific workflow systems for grid computing";"17719752453135264889";"2005"
"Overview of GridRPC: A remote procedure call API for grid computing";"2489244143769672244";"2002"
"Gridflow: Workflow management for grid computing";"5031427993831886264";"2003"
"A case for grid computing on virtual machines";"5968547110370367347";"2003"
"VOMS, an authorization system for virtual organizations";"1854182467523317517";"2004"
"Economic-based distributed resource management and scheduling for grid computing";"9833394139652222638";"2002"
"Evaluation of job-scheduling strategies for grid computing";"8776995388949446596";"2000"
"Evolving and managing trust in grid computing systems";"10585228768579653212";"2002"
" A Case for Economy Grid Architecture for Service-Oriented Grid Computing.";"14001428557285714533";""
"Intrusion detection for grid and cloud computing";"13934509993817279283";"2010"
"Vmplants: Providing and managing virtual machine execution environments for grid computing";"5491133352313117654";"2004"
" Scheduling algorithms for grid computing: State of the art and open problems";"10313818562533951877";"2006"
"Ninf-G: A reference implementation of RPC-based programming middleware for Grid computing";"11866501838705505719";"2003"
"Workflow scheduling algorithms for grid computing";"16437191114565030733";"2008"
"UNICORE: A Grid computing environment";"4952161259306250603";"2001"
"Towards trust-aware resource management in grid computing systems";"114962730176692071";"2002"
"Boinc: A system for public-resource computing and storage";"14948666419597756543";"2004"
"On advantages of grid computing for parallel job scheduling";"14132175484852341018";"2002"
"Job scheduling and resource management techniques in economic grid environments";"13083324175673410016";"2004"
"The gridbus toolkit for service oriented grid and utility computing: An overview and status report";"602333086150170049";"2004"
"An evaluation of amazon's grid computing services: EC2, S3, and SQS";"17865692441053630280";"2007"
" Grid computing";"12565547931638528726";"2004"
"Market-oriented cloud computing: Vision, hype, and reality for delivering it services as computing utilities";"10325371467407929085";"2008"
"Semantic matching of grid resource descriptions";"4621530739727280965";"2004"
"Ant algorithm-based task scheduling in grid computing";"10936511036188087067";"2003"
"ASKALON: A grid application development and computing environment";"16493537870716675967";"2005"
" Genetic algorithm based schedulers for grid computing systems";"5398507143267387900";"2007"
"ChinaGrid: making grid computing a reality";"329891757625436402";"2004"
"Economic models for management of resources in peer-to-peer and grid computing";"10173685722520789769";"2001"
"Towards virtual networks for virtual machine grid computing";"18367271412804453825";"2004"
"Economic scheduling in grid computing";"17976179495373200448";"2002"
"ARMS: An agent-based resource management system for grid computing";"11886299034169790169";"2002"
"Efficient hierarchical parallel genetic algorithms using grid computing";"14954622467199360569";"2007"
"Fault-tolerant scheduling policy for grid computing systems";"3292160336144380701";"2004"
"Building an infrastructure for scientific Grid computing: status and goals of the EGEE project";"10129045055734213601";"2005"
"ASKALON: a tool set for cluster and Grid computing";"17421223349403209731";"2005"
" Grid Computing: A Practical Guide to Tech. and App.";"11575407549462402661";"2004"
"The semantic grid: A future e‐science infrastructure";"1865224412269228078";"2003"
"Mobile ogsi. net: Grid computing on mobile devices";"6895695672409784448";"2004"
